Demo_Task,Fiscal_Period,ESG_Record_ID,Linked_GL_Txn_ID,Entity,Cost_Center,Cost_Center_Name,ESG_Category,Account_Code,Account_Name,Supplier,Invoice_Number,PO_Number,Spend_AUD,Sustainability_KPI,KPI_Target,KPI_Actual,KPI_Attainment_Percent,Carbon_tCO2e,Renewable_Source_Percent,Supplier_ESG_Score,Working_Capital_Impact_AUD,Margin_Impact_Points,Misclassification_Flag,Leakage_Flag,Disclosure_Evidence_Status,Audit_Readiness,Recommended_Action,Approval_Required,Source_File_Target
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0474,TXN006682,NZL01,R&D,Research & Development,Carbon offsets,5300,Professional Services,Sustainable Packaging Co,BOB-ESG-0474,PO-ESG-4176,90667.88,tCO2e avoided,896.83,901.1,100.5,408.25,60.6,78,-47236.44,-0.22,No,None,Missing,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0475,TXN006683,NZL01,HR,Human Resources,Supplier ESG premium,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0475,PO-ESG-4234,42716.16,waste_kg_reduced,629.32,739.88,117.6,226.58,93.1,73,-8611.39,-0.12,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0476,TXN006684,FJI01,ACT,Australian Capital Territory,Fleet emissions,5400,Travel,EcoVadis,BOB-ESG-0476,PO-ESG-3842,114397.97,waste_kg_reduced,816.59,598.76,73.3,65.15,41.7,77,37473.4,-0.75,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0477,TXN006685,NZL01,ACT,Australian Capital Territory,Renewable sourcing premium,6000,Cost of Goods Sold,Energy Australia,BOB-ESG-0477,PO-ESG-9903,79163.33,supplier_score,859.64,662.25,77.0,451.62,35.3,95,-36657.6,0.27,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0478,TXN006686,PNG01,FIN,Finance & Accounting,Compliance assurance,5320,Audit Fees,Origin Energy,BOB-ESG-0478,PO-ESG-6540,78410.75,renewable_kwh,98.37,89.12,90.6,79.87,87.3,79,34198.29,0.31,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0479,TXN006687,FJI01,MKT,Marketing & Sales,Waste reduction,5600,Telecommunications,EcoVadis,BOB-ESG-0479,PO-ESG-2957,65174.44,supplier_score,192.44,167.09,86.8,389.38,22.8,92,-6234.37,-0.24,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0480,TXN006688,FJI01,QLD,Queensland Operations,Fleet emissions,5400,Travel,Origin Energy,BOB-ESG-0480,PO-ESG-5908,52595.57,waste_kg_reduced,63.21,61.98,98.1,522.7,46.6,68,-3584.18,-0.48,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0481,TXN006689,NZL01,CORP,Corporate Head Office,Fleet emissions,5400,Travel,Energy Australia,BOB-ESG-0481,PO-ESG-2105,97803.07,audit_evidence_count,308.96,384.06,124.3,54.14,69.5,85,2903.15,-0.74,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0482,TXN006690,AUS01,CORP,Corporate Head Office,Compliance assurance,5320,Audit Fees,Carbon Neutral Pty Ltd,BOB-ESG-0482,PO-ESG-8984,43142.21,waste_kg_reduced,106.88,82.99,77.6,85.48,62.6,95,-2507.78,0.24,No,None,Partial,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0483,TXN006691,PNG01,ACT,Australian Capital Territory,Compliance assurance,5320,Audit Fees,Sustainable Packaging Co,BOB-ESG-0483,PO-ESG-3063,55012.93,waste_kg_reduced,511.81,573.42,112.0,473.89,21.7,65,47046.72,-0.28,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0484,TXN006692,AUS01,QLD,Queensland Operations,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0484,PO-ESG-9340,12337.01,renewable_kwh,507.43,490.65,96.7,402.04,75.7,91,13824.62,-0.09,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0485,TXN006693,NZL01,WA,Western Australia Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Energy Australia,BOB-ESG-0485,PO-ESG-6127,20725.32,audit_evidence_count,626.01,562.82,89.9,74.37,1.9,46,72720.56,0.1,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0486,TXN006694,NZL01,SA,South Australia Operations,Supplier ESG premium,6010,Direct Materials,Climate Active Advisor,BOB-ESG-0486,PO-ESG-2619,90608.08,waste_kg_reduced,105.5,117.11,111.0,277.73,69.3,49,-22660.29,-0.09,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0487,TXN006695,NZL01,OPS,Operations & Logistics,Compliance assurance,5320,Audit Fees,Origin Energy,BOB-ESG-0487,PO-ESG-9369,84004.42,waste_kg_reduced,106.74,87.29,81.8,147.03,85.6,90,-38949.08,0.08,No,None,Complete,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0488,TXN006696,FJI01,NSW,New South Wales Operations,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0488,PO-ESG-9389,51865.01,renewable_kwh,954.5,630.64,66.1,238.79,43.4,49,-4144.92,-0.23,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0489,TXN006697,PNG01,NT,Northern Territory Operations,Supplier ESG premium,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0489,PO-ESG-4704,26359.36,audit_evidence_count,702.42,789.07,112.3,174.29,4.0,66,53358.7,-0.1,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0490,TXN006698,FJI01,FIN,Finance & Accounting,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0490,PO-ESG-1195,117996.72,renewable_kwh,852.94,910.89,106.8,322.76,20.9,56,37374.17,-0.75,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0491,TXN006699,PNG01,SA,South Australia Operations,Supplier ESG premium,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0491,PO-ESG-4392,101455.32,waste_kg_reduced,917.96,829.23,90.3,543.08,35.1,55,66879.53,-0.04,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0492,TXN006700,AUS01,FIN,Finance & Accounting,Renewable sourcing premium,6000,Cost of Goods Sold,Carbon Neutral Pty Ltd,BOB-ESG-0492,PO-ESG-7018,55484.92,renewable_kwh,293.78,288.42,98.2,28.14,29.3,62,-27468.87,-0.22,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0493,TXN006701,NZL01,MKT,Marketing & Sales,Supplier ESG premium,6010,Direct Materials,EcoVadis,BOB-ESG-0493,PO-ESG-1232,93251.07,waste_kg_reduced,943.33,1069.29,113.4,184.11,29.8,76,39490.06,-0.32,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0494,TXN006702,FJI01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Bureau Veritas,BOB-ESG-0494,PO-ESG-5942,51262.29,waste_kg_reduced,693.81,513.62,74.0,462.35,60.1,71,66981.18,-0.18,No,None,Complete,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0495,TXN006703,NZL01,VIC,Victoria Operations,Carbon offsets,5300,Professional Services,Sustainable Packaging Co,BOB-ESG-0495,PO-ESG-5857,79030.71,renewable_kwh,154.76,171.05,110.5,268.28,60.1,60,68355.85,-0.24,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0496,TXN006704,PNG01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Energy Australia,BOB-ESG-0496,PO-ESG-6364,21225.7,renewable_kwh,776.99,633.87,81.6,242.52,82.3,75,-36165.79,0.2,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0497,TXN006705,PNG01,VIC,Victoria Operations,Compliance assurance,5320,Audit Fees,Green Freight,BOB-ESG-0497,PO-ESG-5813,116272.48,audit_evidence_count,375.53,404.04,107.6,222.85,73.9,59,22735.2,-0.69,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0498,TXN006706,AUS01,SA,South Australia Operations,Sustainable packaging,6010,Direct Materials,Green Freight,BOB-ESG-0498,PO-ESG-8413,50684.98,renewable_kwh,329.31,281.57,85.5,511.64,3.8,77,-6729.75,-0.32,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0499,TXN006707,PNG01,IT,Information Technology,Sustainable packaging,6010,Direct Materials,Sustainable Packaging Co,BOB-ESG-0499,PO-ESG-9655,14943.32,renewable_kwh,316.66,329.01,103.9,309.26,33.5,82,-13097.6,-0.14,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0500,TXN006708,FJI01,SA,South Australia Operations,Carbon offsets,5300,Professional Services,Origin Energy,BOB-ESG-0500,PO-ESG-5276,7962.49,audit_evidence_count,998.09,752.76,75.4,117.31,3.4,67,82328.36,-0.46,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0501,TXN006709,AUS01,HR,Human Resources,Waste reduction,5600,Telecommunications,Carbon Neutral Pty Ltd,BOB-ESG-0501,PO-ESG-7551,22587.53,audit_evidence_count,257.37,211.76,82.3,310.32,22.8,76,51345.97,-0.46,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0502,TXN006710,FJI01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Climate Active Advisor,BOB-ESG-0502,PO-ESG-1197,54942.37,tCO2e avoided,593.87,465.07,78.3,294.15,68.4,63,-17157.44,-0.34,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0503,TXN006711,NZL01,NT,Northern Territory Operations,Fleet emissions,5400,Travel,Climate Active Advisor,BOB-ESG-0503,PO-ESG-3599,64138.64,renewable_kwh,747.37,812.03,108.7,323.57,9.3,85,-14093.41,-0.54,No,None,Missing,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0504,TXN006712,NZL01,OPS,Operations & Logistics,Sustainable packaging,6010,Direct Materials,Bureau Veritas,BOB-ESG-0504,PO-ESG-9812,38260.15,waste_kg_reduced,760.69,708.48,93.1,193.24,43.2,96,-25813.57,-0.63,Yes,ESG spend posted to non-ESG account or missing KPI link,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0505,TXN006713,PNG01,WA,Western Australia Operations,Sustainable packaging,6010,Direct Materials,Sustainable Packaging Co,BOB-ESG-0505,PO-ESG-1113,118308.31,renewable_kwh,751.81,763.06,101.5,505.42,68.3,46,67892.61,-0.2,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0506,TXN006714,FJI01,QLD,Queensland Operations,Fleet emissions,5400,Travel,Bureau Veritas,BOB-ESG-0506,PO-ESG-1463,108266.5,audit_evidence_count,789.6,863.55,109.4,59.23,63.1,49,-43724.92,-0.38,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0507,TXN006715,FJI01,MKT,Marketing & Sales,Waste reduction,5600,Telecommunications,EcoVadis,BOB-ESG-0507,PO-ESG-7963,14103.98,supplier_score,58.36,63.86,109.4,57.15,57.7,79,5033.64,-0.12,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0508,TXN006716,PNG01,TAS,Tasmania Operations,Waste reduction,5600,Telecommunications,Green Freight,BOB-ESG-0508,PO-ESG-7909,80007.55,renewable_kwh,433.67,288.21,66.5,150.42,22.3,82,-20311.66,0.03,No,None,Partial,Partial,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0509,TXN006717,NZL01,VIC,Victoria Operations,Fleet emissions,5400,Travel,Origin Energy,BOB-ESG-0509,PO-ESG-4803,12383.72,supplier_score,788.33,754.06,95.7,537.94,35.9,65,57533.31,0.34,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0510,TXN006718,PNG01,OPS,Operations & Logistics,Fleet emissions,5400,Travel,EcoVadis,BOB-ESG-0510,PO-ESG-2050,9906.56,supplier_score,114.02,140.24,123.0,196.3,79.6,49,-44726.86,-0.53,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0511,TXN006719,FJI01,IT,Information Technology,Carbon offsets,5300,Professional Services,Carbon Neutral Pty Ltd,BOB-ESG-0511,PO-ESG-6418,115100.27,audit_evidence_count,148.81,180.49,121.3,167.51,44.7,70,46735.1,0.33,No,None,Partial,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0512,TXN006720,PNG01,IT,Information Technology,Sustainable packaging,6010,Direct Materials,Climate Active Advisor,BOB-ESG-0512,PO-ESG-1246,17135.74,audit_evidence_count,804.39,674.52,83.9,39.11,33.8,64,9599.88,-0.3,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0513,TXN006721,NZL01,SA,South Australia Operations,Energy usage,5110,Utilities,Carbon Neutral Pty Ltd,BOB-ESG-0513,PO-ESG-5296,68904.38,tCO2e avoided,877.99,672.36,76.6,68.98,41.5,46,-5154.8,-0.56,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Ready,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0514,TXN006722,NZL01,QLD,Queensland Operations,Waste reduction,5600,Telecommunications,Carbon Neutral Pty Ltd,BOB-ESG-0514,PO-ESG-4822,26248.15,supplier_score,609.92,473.44,77.6,184.83,90.9,77,-8341.24,0.01,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0515,TXN006723,PNG01,NSW,New South Wales Operations,Sustainable packaging,6010,Direct Materials,Carbon Neutral Pty Ltd,BOB-ESG-0515,PO-ESG-5580,111098.73,audit_evidence_count,939.85,792.27,84.3,429.8,58.7,80,-4455.13,-0.47,No,None,Missing,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0516,TXN006724,AUS01,NT,Northern Territory Operations,Carbon offsets,5300,Professional Services,Carbon Neutral Pty Ltd,BOB-ESG-0516,PO-ESG-5303,30302.23,waste_kg_reduced,885.13,847.26,95.7,431.39,24.9,92,-33747.73,-0.34,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0517,TXN006725,AUS01,WA,Western Australia Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Climate Active Advisor,BOB-ESG-0517,PO-ESG-3711,51289.85,tCO2e avoided,516.63,581.42,112.5,374.96,2.8,47,60590.76,-0.25,No,None,Partial,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0518,TXN006726,NZL01,QLD,Queensland Operations,Fleet emissions,5400,Travel,Carbon Neutral Pty Ltd,BOB-ESG-0518,PO-ESG-5116,51197.4,audit_evidence_count,707.46,821.29,116.1,157.02,75.0,82,78716.89,-0.54,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0519,TXN006727,AUS01,MKT,Marketing & Sales,Renewable sourcing premium,6000,Cost of Goods Sold,Carbon Neutral Pty Ltd,BOB-ESG-0519,PO-ESG-1330,115416.2,tCO2e avoided,993.6,755.94,76.1,342.83,58.5,51,28859.72,-0.76,No,None,Complete,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0520,TXN006728,NZL01,WA,Western Australia Operations,Compliance assurance,5320,Audit Fees,EcoVadis,BOB-ESG-0520,PO-ESG-8726,85099.1,audit_evidence_count,380.42,348.45,91.6,492.4,82.6,59,76010.48,-0.37,Yes,ESG spend posted to non-ESG account or missing KPI link,Complete,Partial,Reclassify and link to KPI evidence,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0521,TXN006729,AUS01,MKT,Marketing & Sales,Renewable sourcing premium,6000,Cost of Goods Sold,Energy Australia,BOB-ESG-0521,PO-ESG-3961,30989.86,supplier_score,175.16,189.56,108.2,332.45,34.3,46,-30176.86,-0.08,No,None,Partial,Ready,No action,No,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0522,TXN006730,NZL01,WA,Western Australia Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Bureau Veritas,BOB-ESG-0522,PO-ESG-1064,12014.68,renewable_kwh,368.57,451.13,122.4,526.12,53.1,46,-6462.88,0.33,No,None,Missing,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0523,TXN006731,PNG01,VIC,Victoria Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Green Freight,BOB-ESG-0523,PO-ESG-6479,6173.22,audit_evidence_count,442.32,427.51,96.7,239.64,63.7,49,430.08,-0.31,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0524,TXN006732,NZL01,QLD,Queensland Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Sustainable Packaging Co,BOB-ESG-0524,PO-ESG-7483,90705.45,supplier_score,459.82,546.38,118.8,231.6,28.5,58,54902.71,0.38,No,None,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0525,TXN006733,NZL01,ACT,Australian Capital Territory,Waste reduction,5600,Telecommunications,Climate Active Advisor,BOB-ESG-0525,PO-ESG-5561,119066.63,supplier_score,101.05,78.5,77.7,123.48,5.6,80,1985.28,0.21,No,None,Partial,Ready,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0526,TXN006734,AUS01,ACT,Australian Capital Territory,Renewable sourcing premium,6000,Cost of Goods Sold,Sustainable Packaging Co,BOB-ESG-0526,PO-ESG-5858,46635.46,supplier_score,434.38,404.45,93.1,151.9,8.0,84,-20312.06,-0.48,Yes,ESG spend posted to non-ESG account or missing KPI link,Partial,Needs review,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
IBM BOB 3 - ESG,2026-06,ESG-MAR26-0527,TXN006735,FJI01,NT,Northern Territory Operations,Renewable sourcing premium,6000,Cost of Goods Sold,Carbon Neutral Pty Ltd,BOB-ESG-0527,PO-ESG-3732,100282.83,supplier_score,485.54,381.68,78.6,246.67,29.5,57,-49289.71,0.33,No,None,Complete,Partial,CFO approval for material ESG spend,Yes,IBMBOB_ESG_Cost_KPI_Mar2026.csv + Raw_GL_Export_With_CostCenters_Mar2026_IBMBOB_Enhanced.csv
